,title,price,year,link,model,age
101,2019 thor majestic 23a,38850,2019.0,https://buffalo.craigslist.org/rvd/d/buffalo-2019-thor-majestic-23a/7820650040.html,thor,6.0
102,2019 thor majestic 19g,39850,2019.0,https://buffalo.craigslist.org/rvd/d/buffalo-2019-thor-majestic-19g/7820649890.html,thor,6.0
103,2019 38 foot northpoint by jayco,26500,2019.0,https://boone.craigslist.org/rvs/d/boone-foot-northpoint-by-jayco/7820649193.html,jayco,6.0
104,2019 coleman lantern 202rd,110000,2019.0,https://newjersey.craigslist.org/rvs/d/hillsdale-2019-coleman-lantern-202rd/7820618953.html,missing,6.0
105,"rvs, campers & motorhomes by the day",0,,https://columbus.craigslist.org/rvd/d/columbus-rvs-campers-motorhomes-by-the/7820613664.html,missing,
106,tiny cabin for sale,27000,,https://martinsburg.craigslist.org/rvs/d/berkeley-springs-tiny-cabin-for-sale/7820587951.html,missing,
107,low mileage (loaded!) forest river 2420ms,75000,,https://twintiers.craigslist.org/rvs/d/cuba-low-mileage-loaded-forest-river/7820575881.html,missing,
108,2013 jayco destination 40bhts rv camper,15900,2013.0,https://albany.craigslist.org/rvd/d/schenectady-2013-jayco-destination/7820572708.html,jayco,12.0
109,2014 keystone 5th wheel,15000,2014.0,https://greensboro.craigslist.org/rvs/d/star-2014-keystone-5th-wheel/7820565609.html,keystone,11.0
110,2013 aspen trail camper,12000,2013.0,https://columbus.craigslist.org/rvs/d/south-vienna-2013-aspen-trail-camper/7820532513.html,missing,12.0
111,2020 coachmen apex camper,17200,2020.0,https://reading.craigslist.org/rvs/d/bernville-2020-coachmen-apex-camper/7820531742.html,coachmen,5.0
112,like new 2023 keystone bullet 2500 rk,26000,2023.0,https://elmira.craigslist.org/rvs/d/wellsburg-like-new-2023-keystone-bullet/7820507947.html,keystone,2.0
113,2008 gulf stream endura 6341 4200 international,44399,2008.0,https://philadelphia.craigslist.org/rvd/d/philadelphia-2008-gulf-stream-endura/7820471860.html,missing,17.0
114,2008 gulf stream endura 6341 2 slides,44399,2008.0,https://washingtondc.craigslist.org/doc/rvd/d/washington-2008-gulf-stream-endura/7820471000.html,missing,17.0
115,2008 gulf stream endura 6341 super c,44399,2008.0,https://albany.craigslist.org/rvd/d/albany-2008-gulf-stream-endura-6341/7820462299.html,missing,17.0
116,2015 forest river berkshire xl 40rb,122000,2015.0,https://hartford.craigslist.org/rvs/d/bristol-2015-forest-river-berkshire-xl/7820454470.html,missing,10.0
117,2007 gmc savana camper,15000,2007.0,https://raleigh.craigslist.org/rvs/d/carrboro-2007-gmc-savana-camper/7820385149.html,missing,18.0
118,free  winnebago chieftan motorhome,1,,https://charlotte.craigslist.org/rvs/d/charlotte-free-winnebago-chieftan/7820382896.html,winnebago,
119,mercedes sprinter off grid solar camper van **financing available!**,109000,,https://philadelphia.craigslist.org/rvd/d/philadelphia-mercedes-sprinter-off-grid/7820359486.html,missing,
120,"❌❌  hugh specials sheds, buildings, cabins, houses",1,,https://buffalo.craigslist.org/rvs/d/delevan-hugh-specials-sheds-buildings/7820359232.html,missing,
121,2000 fleetwood southwinds motor home,12900,2000.0,https://charlotte.craigslist.org/rvs/d/matthews-2000-fleetwood-southwinds/7820358381.html,missing,25.0
122,"great travel trailer- ""couples unit"" loaded with extras",16995,,https://winstonsalem.craigslist.org/rvs/d/winston-salem-great-travel-trailer/7820334574.html,missing,
123,"2021 gulfstream conquest 21 ft. - only used four times, extra clean!",10995,2021.0,https://allentown.craigslist.org/rvs/d/emmaus-2021-gulfstream-conquest-21-ft/7820293557.html,missing,4.0
124,privately owned - 1997 prevost xl entertainer,79986,1997.0,https://charlotte.craigslist.org/rvd/d/rock-hill-privately-owned-prevost-xl/7820282950.html,missing,28.0
125,camper van,120000,,https://southjersey.craigslist.org/rvs/d/mays-landing-camper-van/7820261838.html,missing,
126,leisure travel van unity mb24,107000,,https://cleveland.craigslist.org/rvs/d/chardon-leisure-travel-van-unity-mb24/7820246560.html,missing,
127,2013 outback m-298re,12900,2013.0,https://rochester.craigslist.org/rvd/d/honeoye-2013-outback-298re/7820243612.html,missing,12.0
128,2013 laredo m-264srl,9500,2013.0,https://rochester.craigslist.org/rvd/d/honeoye-2013-laredo-264srl/7820243415.html,missing,12.0
129,2016 forest river cherokee 24rk,11500,2016.0,https://asheville.craigslist.org/rvs/d/fairview-2016-forest-river-cherokee-24rk/7820243232.html,cherokee,9.0
130,2007 winnebago journey 36g,69900,2007.0,https://scranton.craigslist.org/rvd/d/hunlock-creek-2007-winnebago-journey-36g/7820214434.html,winnebago,18.0
131,2008 beaver contessa 42 westport,94900,2008.0,https://philadelphia.craigslist.org/rvd/d/skippack-2008-beaver-contessa-42/7820214157.html,missing,17.0
132,2017 thor motor coach tuscany 45at  bath and half,184500,2017.0,https://southjersey.craigslist.org/rvd/d/mays-landing-2017-thor-motor-coach/7820214024.html,thor,8.0
133,2025 keystone hideout 175bh w/rear bunks & front queen bed,14990,2025.0,https://pittsburgh.craigslist.org/rvd/d/medina-2025-keystone-hideout-175bh-rear/7820207464.html,keystone,0.0
134,2008 winnebago aspect rv,14999,2008.0,https://newjersey.craigslist.org/rvs/d/maywood-2008-winnebago-aspect-rv/7820205225.html,winnebago,17.0
135,2006 show hauler,100000,2006.0,https://norfolk.craigslist.org/rvs/d/north-2006-show-hauler/7820200376.html,missing,19.0
136,rv cover in original pkg never opened,75,,https://elmira.craigslist.org/rvs/d/pine-city-rv-cover-in-original-pkg/7820188412.html,missing,
137,rv,7000,,https://raleigh.craigslist.org/rvs/d/angier-rv/7820162713.html,missing,
138,"1979 dodge winnebago ""minnie winnie""",13900,1979.0,https://york.craigslist.org/rvd/d/york-1979-dodge-winnebago-minnie-winnie/7820151357.html,winnebago,46.0
139,2021camper trade or sell,13000,2021.0,https://charlotte.craigslist.org/rvs/d/charlotte-2021camper-trade-or-sell/7820150244.html,missing,4.0
140,2018 jayco jay feather 19xud hybrid,14000,2018.0,https://philadelphia.craigslist.org/rvs/d/warminster-2018-jayco-jay-feather-19xud/7820126792.html,jayco,7.0
141,2016 fleetwood terra,46900,2016.0,https://fredericksburg.craigslist.org/rvd/d/fredericksburg-2016-fleetwood-terra/7820120224.html,missing,9.0
142,2017 roadtrek ss agile sprinter,68900,2017.0,https://fredericksburg.craigslist.org/rvd/d/fredericksburg-2017-roadtrek-ss-agile/7820117871.html,roadtrek,8.0
143,2014 jayco greyhawk 31ds,39900,2014.0,https://fredericksburg.craigslist.org/rvd/d/fredericksburg-2014-jayco-greyhawk-31ds/7820117685.html,jayco,11.0
144,2021 rock solid 7x16 enclosed trailer/camper/toy hauler,8900,2021.0,https://boone.craigslist.org/rvs/d/boone-2021-rock-solid-7x16-enclosed/7820098617.html,missing,4.0
145,2021 rock solid 7x16 enclosed trailer/camper/toy hauler,8900,2021.0,https://tricities.craigslist.org/rvs/d/boone-2021-rock-solid-7x16-enclosed/7820098110.html,missing,4.0
146,2019 coachmen apex 30' camper,19900,2019.0,https://syracuse.craigslist.org/rvd/d/churchville-2019-coachmen-apex-30-camper/7820081147.html,coachmen,6.0
147,"rare class b w/ dry bath & slide, low miles | 2016 winnebago era 170c",85000,2016.0,https://greensboro.craigslist.org/rvs/d/trinity-rare-class-w-dry-bath-slide-low/7820077522.html,winnebago,9.0
148,"carports, garages, barns, rv covers, metal buildings, sheds, storage!!",1506,,https://raleigh.craigslist.org/rvd/d/sanford-carports-garages-barns-rv/7820076992.html,missing,
149,"2017 forest river coachmen pursuit 29kb, 15k, all upgrades, immaculate",55900,2017.0,https://charlotte.craigslist.org/rvd/d/matthews-2017-forest-river-coachmen/7820074066.html,coachmen,8.0
150,2016 forest river wildwood 28rlds (32ft),11995,2016.0,https://binghamton.craigslist.org/rvd/d/binghamton-2016-forest-river-wildwood/7820063781.html,missing,9.0
151,2024 nucamp rv tab 400 bunk under 3000# high quality teardrop,38995,2024.0,https://ithaca.craigslist.org/rvd/d/blodgett-mills-2024-nucamp-rv-tab-400/7820060748.html,missing,1.0
152,"2025 nucamp t@b 320s boondock teardrop camper*high quality, has it al",35995,2025.0,https://ithaca.craigslist.org/rvd/d/blodgett-mills-2025-nucamp-tb-320s/7820058064.html,missing,0.0
153,2012 monaco vesta35pbd,91119,2012.0,https://myrtlebeach.craigslist.org/rvs/d/myrtle-beach-2012-monaco-vesta35pbd/7820028272.html,missing,13.0
154,2015 24' class-c rv sunseeker mercedes diesel,62000,2015.0,https://asheville.craigslist.org/rvs/d/durham-class-rv-sunseeker-mercedes/7820010417.html,missing,10.0
155,2019 venegeance rogue 31v,27000,2019.0,https://tricities.craigslist.org/rvs/d/mosheim-2019-venegeance-rogue-31v/7819999787.html,missing,6.0
156,2023 forest river wildwood x-lite 273qbxlx,29000,2023.0,https://raleigh.craigslist.org/rvs/d/wake-forest-2023-forest-river-wildwood/7819999187.html,missing,2.0
157,privately owned - 2020 forest river forester 2551ds le,58986,2020.0,https://washingtondc.craigslist.org/nva/rvd/d/warrenton-privately-owned-forest-river/7819997036.html,missing,5.0
158,2022 shasta 26db camper,25500,2022.0,https://tricities.craigslist.org/rvs/d/jonesborough-2022-shasta-26db-camper/7819992719.html,missing,3.0
159,2015 24' class-c rv sunseeker mercedes diesel,62000,2015.0,https://losangeles.craigslist.org/sfv/rvs/d/durham-class-rv-sunseeker-mercedes/7819982322.html,missing,10.0
160,class c-  2023 forest river le 2151s,70500,2023.0,https://greensboro.craigslist.org/rvs/d/oak-ridge-class-forest-river-le-2151s/7819974488.html,missing,2.0
161,rv jacknife sofa new,250,,https://hartford.craigslist.org/rvs/d/torrington-rv-jacknife-sofa-new/7819964762.html,missing,
162,1987 ford e350 camper for sale $10k obo,10000,1987.0,https://cnj.craigslist.org/rvs/d/new-brunswick-1987-ford-e350-camper-for/7819928759.html,missing,38.0
163,2019 23a class c motorhome super saver,29850,2019.0,https://eastky.craigslist.org/rvd/d/eastern-class-motorhome-super-saver/7819922196.html,missing,6.0
164,2019 23a rv scratch-n-dent special,26850,2019.0,https://richmond.craigslist.org/rvd/d/richmond-rv-scratch-dent-special/7819918253.html,missing,6.0
165,2019 23a rv scratch-n-dent special,26850,2019.0,https://scranton.craigslist.org/rvd/d/scranton-rv-scratch-dent-special/7819917787.html,missing,6.0
166,2019 23a rv scratch-n-dent special,26850,2019.0,https://longisland.craigslist.org/rvd/d/amagansett-rv-scratch-dent-special/7819917557.html,missing,6.0
167,3 in 1 tv stand up to 70 inches,90,,https://cleveland.craigslist.org/rvs/d/cleveland-in-tv-stand-up-to-70-inches/7819912708.html,missing,
168,2010 ford e450 four winds 31ft,19500,2010.0,https://atlanta.craigslist.org/atl/rvs/d/raleigh-2010-ford-e450-four-winds-31ft/7819912463.html,missing,15.0
169,lightweight and well-built teardrop little guy max rough rider 3000 lb,35995,,https://syracuse.craigslist.org/rvd/d/blodgett-mills-lightweight-and-well/7819902060.html,missing,
170,little guy mini max teardrop camper  200 watts of solar bathroom queen,22995,,https://syracuse.craigslist.org/rvd/d/blodgett-mills-little-guy-mini-max/7819901832.html,missing,
171,2021 gulf stream ameri-lite 197bh bunk beds! camper,18500,2021.0,https://eastnc.craigslist.org/rvs/d/goldsboro-2021-gulf-stream-ameri-lite/7819885791.html,missing,4.0
172,2 br 5th wheel on a large lot at white oak shores in stella nc,49999,,https://eastnc.craigslist.org/rvs/d/stella-br-5th-wheel-on-large-lot-at/7819884888.html,missing,
173,camper/rv for sale 2005 fleetwood terry quantum,1900,2005.0,https://catskills.craigslist.org/rvs/d/prattsville-camper-rv-for-sale-2005/7819877801.html,missing,20.0
174,"forest river evo, ""4 seasons""",17000,,https://charlotte.craigslist.org/rvs/d/asheville-forest-river-evo-seasons/7819868937.html,missing,
175,2022 forest river salem cruiselite 261bhxl,13500,2022.0,https://winstonsalem.craigslist.org/rvd/d/winston-salem-2022-forest-river-salem/7819857899.html,missing,3.0
